index,signatures,pagenum,category,description
107,[G4]v,44,poetry (English),
108,[G5]r,45,poetry (English),
109,[G5]v,46,poetry (English),
110,[G6]r,47,poetry (English),
111,[G6]v,48,poetry (English),
112,H[1]r,49,poetry (English),
113,H[1]v,50,poetry (English),
114,[insertion]rr,,original print,
115,[insertion]vv,,original print,
116,H2r,51,poetry (English),
117,H2v,52,poetry (English),
118,H3r,53,poetry (English),
119,H3v,54,poetry (English),
120,[H4]r,55,poetry (English),
121,[H4]v,56,poetry (English),
122,[H5]r,57,poetry (English),
123,[H5]v,58,poetry (English),
124,[H6]r,59,poetry (English),
125,[H6]v,60,poetry (English),
126,I[1]r,61,poetry (English),
127,I[1]v,62,poetry (English),
128,I2r,63,poetry (English),
129,I2v,69,poetry (English),
130,I3r,65,poetry (English),
131,I3v,,original print,
132,[I4]r,67,poetry (English),
133,[I4]v,68,poetry (English),
134,[I5]r,63,poetry (English),
135,[I5]v,70,poetry (English),
136,[I6]r,71,poetry (English),
137,[I6]v,72,poetry (English),
138,K[1]r,73,poetry (English),
139,K[1]v,74,poetry (English),
140,K2r,75,poetry (English),
141,K2v,76,poetry (English),
142,K3r,77,poetry (English),
143,K3v,78,poetry (English),
144,[K4]r,79,poetry (English),
145,[K4]v,80,poetry (English),
146,[K5]r,81,poetry (English),
147,[K5]v,82,poetry (English),
148,[K6]r,83,poetry (English),
149,[K6]v,84,poetry (English),
150,L[1]r,85,poetry (English),
151,L[1]v,86,poetry (English),
152,L2r,87,poetry (English),
153,L2v,88,poetry (English),
154,L2r,89,poetry (English),
155,L2v,90,poetry (English),
156,[L4]r,91,poetry (English),
157,[L4]v,92,poetry (English),
158,[L5]r,93,poetry (English),
159,[L5]v,94,poetry (English),
160,[insertion]r,,original print,
161,[insertion]v,,original print,
162,[L6]r,95,poetry (English),
163,[L6]v,96,poetry (English),
164,M[1]r,97,poetry (English),
165,M[1]v,98,poetry (English),
166,M2r,99,poetry (English),
167,M2v,100,poetry (English),
168,M3r,101,poetry (English),
169,M3v,102,poetry (English),
170,[M4]r,103,poetry (English),
171,[M4]v,104,poetry (English),
172,[M5]r,105,poetry (English),
173,[M5]v,106,poetry (English),
174,[M6]r,107,poetry (English),
175,[M6]v,108,poetry (English),
176,[insertion]r,,original print,
177,[insertion]v,,original print,
178,N[1]r,109,poetry (English),
179,N[1]v,110,poetry (English),
180,N2r,111,poetry (English),
181,N2v,112,poetry (English),
182,N3r,113,poetry (English),
183,N3v,114,poetry (English),
184,[N4]r,115,poetry (English),
185,[N4]v,116,poetry (English),
186,[N5]r,117,poetry (English),
187,[N5]v,118,poetry (English),
188,[N6]r,119,poetry (English),
189,[N6]v,120,poetry (English),
190,O[1]r,121,poetry (English),
191,O[1]v,122,poetry (English),
192,[insertion]r,,recycled image,
193,[insertion]v,,recycled image,
194,[O2]r,123,preliminary,
195,[O2]v,124,poetry (Latin),
196,[insertion]r,,original print,
197,[insertion]v,,original print,
198,[O3]r,125,poetry (English),
199,[O3]v,126,poetry (Latin),
200,[O4]r,127,poetry (English),
201,[O4]v,128,poetry (Latin),
202,[O5]r,129,poetry (English),
203,[O5]v,130,poetry (Latin),
204,[O6]r,131,poetry (English),
205,[O6]v,132,poetry (Latin),
206,P[1]r,133,poetry (English),
207,P[1]v,134,poetry (Latin),
208,P2r,135,poetry (English),
209,P2v,136,poetry (Latin),
210,P3r,137,poetry (English),
211,P3v,138,poetry (Latin),
212,[P4]r,139,poetry (English),
213,[P4]v,140,poetry (Latin),
214,[P5]r,141,poetry (English),
215,[P5]v,142,poetry (Latin),
216,[P6]r,143,poetry (English),
217,[P6]v,144,poetry (Latin),
218,Q[1]r,145,poetry (English),
219,Q[1]v,146,poetry (Latin),
220,Q2r,147,poetry (English),
221,Q2v,148,translation,
222,Q3r,149,translation,
223,Q3v,150,translation,
224,[Q4]r,151,translation,
225,[Q4]v,152,translation,
226,[Q5]r,153,translation,
227,[Q5]v,154,translation,
228,[Q6]r,155,translation,
229,[Q6]v,156,translation,
230,R[1]r,157,translation,
231,R[1]v,158,translation,
232,R2r,159,translation,
233,R2v,160,translation,
234,R3r,161,translation,pattern poem
235,R3v,162,translation,
236,[R4]r,163,translation,
237,[R4]v,164,translation,
238,[R5]r,165,translation,
239,[R5]v,166,translation,
240,[R6]r,167,translation,
241,[R6]v,168,translation,
242,S[1]r,169,translation,
243,S[1]v,170,translation,
244,S2r,171,translation,
245,S2v,172,translation,
246,S3r,173,translation,
247,S3v,174,translation,
248,[S4]r,175,recycled poetry,
249,[S4]v,176,poetry (Latin),
250,[S5]r,177,poetry (English),
251,[S5]v,178,poetry (Latin),
252,[S6]r,179,poetry (English),
253,[S6]v,180,poetry (English),
254,T[1]r,181,poetry (English),
255,T[1]v,182,poetry (English),
256,T2r,183,poetry (English),
257,T2v,184,poetry (English),
258,T3r,185,poetry (English),
259,T3v,186,poetry (English),
260,[T4]r,187,poetry (English),
261,[T4]v,188,poetry (English),
262,[T5]r,189,poetry (English),
263,[T5]v,190,poetry (English),
264,[T6]r,191,poetry (English),
265,[T6]v,192,poetry (English),
266,V[1]r,193,poetry (English),
267,V[1]v,194,poetry (English),
268,V2r,195,poetry (English),
269,V2v,196,poetry (English),
270,V3r,197,poetry (English),
271,V3v,198,poetry (English),
272,[V4]r,191,poetry (English),
273,[V4]v,200,poetry (English),
274,[V5]r,201,poetry (English),
275,[V5]v,202,poetry (English),
276,[V6]r,203,poetry (English),
277,[V6]v,204,poetry (English),
278,X[1]r,205,poetry (English),
279,X[1]v,206,poetry (English),recycled image
280,[X2]r,207,poetry (Latin),
281,[X2]v,208,poetry (Latin),
282,Y[1]r,209,poetry (Latin),recycled image
283,Y[1]v,210,poetry (Latin),recycled image
284,[Y2]r,211,poetry (Latin),
285,[Y2]v,212,poetry (Latin),recycled image
286,Z[1]r,213,poetry (Latin),
287,Z[1]v,214,poetry (Latin),
288,[Z2]r,215,poetry (Latin),
289,[Z2]v,216,poetry (Latin),
290,Aa[1]r,217,poetry (Latin),
291,Aa[1]v,218,poetry (Latin),
292,[Aa2]r,219,poetry (Latin),
293,[Aa2]v,220,poetry (English),
294,Bb[1]r,221,poetry (English),
295,Bb[1]v,222,poetry (English),
296,[Bb2]r,223,poetry (English),
297,[Bb2]v,224,poetry (English),
298,Cc[1]r,225,poetry (English),
299,Cc[1]v,226,poetry (English),
300,[Cc2]r,227,poetry (English),
301,[Cc2]v,228,poetry (English),
302,Dd[1]r,229,poetry (English),
303,Dd[1]v,230,poetry (English),
304,[Dd2]r,231,poetry (English),
305,[Dd2]v,232,poetry (English),
306,Ee[1]r,233,poetry (English),
307,Ee[1]v,234,poetry (English),
308,[insertion]r,,original print,
309,[insertion]v,,original print,
310,[Ee2]r,235,poetry (Latin),
311,[Ee2]v,236,poetry (English),
312,Ff[1]r,237,poetry (English),
313,Ff[1]v,238,poetry (English),
314,[Ff2]r,239,poetry (English),
315,[Ff2]v,240,poetry (English),
316,Gg[1]r,241,poetry (English),
317,Gg[1]v,242,poetry (English),
318,[Gg2]r,243,poetry (English),
319,[Gg2]v,244,poetry (English),
320,Hh[1]r,245,poetry (English),recycled image
321,Hh[1]v,246,poetry (English),
322,[Hh2]r,247,poetry (English),
323,[Hh2]v,248,poetry (English),
324,Ii[1]r,249,poetry (English),
325,Ii[1]v,250,poetry (English),
326,[Ii2]r,251,poetry (English),
327,[Ii2]v,252,poetry (Latin),
328,Kk[1]r,253,poetry (Latin),
329,Kk[1]v,254,translation,
330,[Kk2]r,255,translation,
331,[Kk2]v,256,translation,
332,Ll[1]r,257,translation,
333,Ll[1]v,258,translation,
334,[Ll2]r,259,translation,
335,[Ll2]v,260,translation,
336,Mm[1]r,261,translation,
337,Mm[1]v,262,translation,
338,[Mm2]r,263,translation,
339,[Mm2]v,264,translation,
340,Nn[1]r,265,translation,
341,Nn[1]v,266,translation,
342,[Nn2]r,267,poetry (Latin),
343,[Nn2]v,268,poetry (Latin),
344,[insertion]r,,recycled image,
345,[insertion]v,,recycled image,
346,[insertion]r,,recycled image,
347,[insertion]v,,recycled image,
348,[flyleaf],,flyleaf,
349,[flyleaf],,flyleaf,
350,[flyleaf],,flyleaf,
